Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Trinidad and Tobago,2588,39,749,1800,197,1.51,28.94,5.21,1399491,1849.0,5849,247,4.22
Tunisia,5417,96,1862,3459,0,1.77,34.37,5.16,11818618,458.0,71569,9434,13.18
Turkey,284943,6837,254188,23918,1673,2.4,89.21,2.69,84339067,3379.0,396831,20763,5.23
US,6348544,190923,2387479,3770142,33604,3.01,37.61,8.0,330541757,19206.0,10115804,1087176,10.75
Uganda,4101,46,1876,2179,201,1.12,45.74,2.45,45741000,90.0,14574,1683,11.55
Ukraine,146511,3034,67092,76385,2597,2.07,45.79,4.52,89634808,1635.0,483153,78428,16.23
United Arab Emirates,75981,393,67359,8229,883,0.52,88.65,0.58,9890400,7682.0,143289,8265,5.77
United Kingdom,357613,41683,1831,314099,2681,11.66,0.51,2276.52,134856358,2652.0,1216747,177552,14.59
Uruguay,1741,45,1478,218,29,2.58,84.89,3.04,3473727,501.0,3560,544,15.28
Uzbekistan,44930,366,42212,2352,649,0.81,93.95,0.87,33469199,1342.0,69027,1354,1.96
Vanuatu,0,0,0,0,0,0.0,0.0,0.0,292680,0.0,0,1,inf
Venezuela,56751,452,45318,10981,1188,0.8,79.85,1.0,28435943,1996.0,95149,2590,2.72
Vietnam,1059,35,890,134,5,3.31,84.04,3.93,97338583,11.0,1215,68,5.6
West Bank and Gaza,27919,192,18466,9261,556,0.69,66.14,1.04,4543126,6145.0,58838,5029,8.55
Western Sahara,10,1,8,1,0,10.0,80.0,12.5,597330,17.0,10,0,0.0
Yemen,1999,576,1209,214,5,28.81,60.48,47.64,29825968,67.0,2071,7,0.34
Zambia,13112,300,11839,973,160,2.29,90.29,2.53,18383956,713.0,16971,216,1.27
Zimbabwe,7429,222,5542,1665,41,2.99,74.6,4.01,14862927,500.0,8561,336,3.92
